#class tools::wcsv::ntuple
#title Deposited Energy
#separator 44
#vector_separator 59
#column double X
#column double Y
#column double Z
#column double Edep
#column string Part
#column string Vol
#column string Proc
#column int TrackID
#column int EventID
326.58,341.825,1586.87,0,neutron,Counter15,hadElastic,1,3
326.689,341.391,1586.6,0,neutron,Counter15,hadElastic,1,3
326.7,341.012,1586.75,0,neutron,Counter15,hadElastic,1,3
325.804,337.803,1587.12,0,neutron,Counter15,hadElastic,1,3
324.222,326.556,1603,0.030021,neutron,Counter15,hadElastic,1,3
324.442,324.24,1611.22,0.0563001,neutron,Counter15,hadElastic,1,3
324.403,324.019,1611.44,0,neutron,Counter15,hadElastic,1,3
313.233,312.258,1611.9,0.0225947,neutron,Counter15,hadElastic,1,3
312.948,312.12,1611.71,0.00827922,neutron,Counter15,hadElastic,1,3
313.021,311.965,1612.25,0.0225931,neutron,Counter15,hadElastic,1,3
313.595,311.535,1612.42,0.00343336,neutron,Counter15,hadElastic,1,3
314.853,309.154,1611.1,0.00241658,neutron,Counter15,hadElastic,1,3
314.849,308.933,1611.22,0.000274899,neutron,Counter15,hadElastic,1,3
314.85,308.932,1611.22,0.000277037,neutron,Counter15,hadElastic,1,3
316.269,309.03,1611.51,0.000100399,neutron,Counter15,hadElastic,1,3
316.364,308.888,1611.55,1.3723e-05,neutron,Counter15,hadElastic,1,3
316.628,308.707,1611.89,2.07279e-05,neutron,Counter15,hadElastic,1,3
314.809,305.591,1613.52,1.97498e-06,neutron,Counter15,hadElastic,1,3
314.972,305.368,1614.06,1.70986e-07,neutron,Counter15,hadElastic,1,3
315.44,305.656,1616.92,2.56517e-07,neutron,Counter15,hadElastic,1,3
315.511,305.419,1617.25,7.06594e-08,neutron,Counter15,hadElastic,1,3
316.99,303.369,1618.73,1.41649e-07,neutron,Counter15,hadElastic,1,3
316.725,302.2,1619.1,5.66433e-08,neutron,Counter15,hadElastic,1,3
317.652,300.594,1619.68,3.7919e-08,neutron,Counter15,hadElastic,1,3
317.339,298.754,1619.52,1.58831e-08,neutron,Counter15,hadElastic,1,3
317.388,298.26,1619.84,1.40776e-08,neutron,Counter15,hadElastic,1,3
317.591,296.587,1619.22,2.12162e-09,neutron,Counter15,hadElastic,1,3
317.404,295.962,1619.22,1.43405e-09,neutron,Counter15,hadElastic,1,3
317.309,295.56,1618.99,1.94177e-09,neutron,Counter15,hadElastic,1,3
317.312,295.555,1618.99,1.9844e-09,neutron,Counter15,hadElastic,1,3
320.317,295.208,1620,0,neutron,Counter15,Transportation,1,3
320.317,295.208,1620,0,neutron,Envelope,nKiller,1,3
324.404,324.019,1611.44,0.0981783,proton,Counter15,hIoni,7,3
325.804,337.801,1587.12,0.301675,proton,Counter15,hIoni,6,3
